,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Nidhi Polyester Ltd.,,0.27,-325,0,-0.53,-0.53,243.6,,,0,,0.27,16.67,0,0.04,-0.04,243.8,,,0,,0.27,16.67,0,0.04,-0.04,243.8,,,0,,,,,,,,,,,,0.26,68,-0.01,,,247.8,,,0,,0.26,90.91,0,0.4,0.4,248.8,,,0,,0.26,,0,-1.25,-1.25,246.3,,,0,,0.26,80,0,0.16,0.16,246.1,,,0,,0.26,72.22,0,0.53,0.53,247.4,,,0,,0.26,87.5,0,0.28,0.28,248,,,0,,0.26,87.5,0,0.28,0.28,248,,,0,No,,
Nifan Finvest Ltd.,,0.01,0,0,0,0,754.3,0.01,0.01,0,,0,,0,-0.19,-0.19,1551.2,0.01,0.01,0,,0.35,,0,-0.01,-0.01,2293.7,0,0.91,0,,0.34,,-0.03,-0.01,-0.01,2230.6,0.02,0.02,0,,0.28,,0.04,-0.01,-0.01,2158.9,0,0.53,1.1,,0.28,,0,-0.01,-0.01,2159.1,0,0.53,0,,0.36,,-0.05,-0.01,-0.01,2159.1,0,0.63,0,,0.31,71.43,0.04,0.24,0.24,2162.6,0,0.55,0,,0.31,,0,-0.03,-0.02,2162.6,3.14,443.93,0,,0.04,-617100,0,-85.36,-85.38,1544.6,0,10.75,0,,0.04,-617100,0,-85.36,-85.38,1544.6,0,10.75,0,No,,
Nihal Projects Ltd.,,0.19,,0,-0.12,-0.12,161.3,5,5,0,,0.19,0,0,0,0,161.5,4,4,0,,0.55,48.28,-0.37,1.72,1.72,164.5,37,37,0,,0.55,48.28,-0.37,1.72,1.72,164.5,37,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nihar Financial Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nihar Stocks Ltd.,,0.54,0,0,0,0,12,0.12,0.12,0,,0.54,0,0,0,0,12,0.12,0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Niharika Commercials Pvt. Ltd.,38.1,0.03,3.01,0,2.17,10.29,58.2,25,25.45,0,,0.01,65.14,0,11.93,-0.5,64.5,41.6,41.6,0,,0.01,65.14,0,11.93,-0.5,64.5,41.6,41.6,0,,,,,,,,,,,,0.41,74.19,-0.03,,,76.4,12.25,12.25,0,,0.4,71,-0.03,9.02,9.02,83.7,11.29,11.29,0,,0.06,74.42,-0.02,3.81,3.81,86.7,40.83,40.83,0,,0.06,66.67,0,1.85,1.85,88.7,1.25,1.25,0,,0.05,71.43,0,7.19,7.19,94.9,1.15,1.15,0,,0.08,-53.72,0,-11.41,-11.63,84.8,8.38,8.38,0,,0.08,-53.72,0,-11.41,-11.63,84.8,8.38,8.38,0,No,,
Niharika India Ltd.,,0.96,-1300,-0.01,-1.24,-0.1,141.4,0.01,0.01,0,,0.97,0,-0.88,0,0,1138.8,4,3337.33,9.89,,0.13,-587.5,1.61,-4.62,-0.75,610.4,0.02,1.04,0.23,,0.15,25,0.04,1,-2.56,362.3,0.03,1.17,0.12,,0.15,-50,0,-1.31,-1.16,361.7,0.03,1.17,0.13,,0.15,-212.5,0,-1.73,-1.54,350,0.03,1.18,0.12,,0.15,,0,-1.55,-1.29,348.5,0.03,1.17,0.13,,0.15,-80,0,-0.42,-0.84,342.2,0.03,1.17,0.13,,0.15,-116.67,0.01,-1.48,-1.31,343,0.03,1.17,0.14,,0.15,-116.67,0.01,-1.48,-1.31,343,0.03,1.17,0.14,,,,,,,,,,,No,,
Niharika Trading & Investments Ltd.,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,2.2,0,20,,,0,0,0,,0,2.2,0,20,,,0,0,0,,0,2.2,0,20,,,0,0,0,,0,2.2,0,20,,,0,0,0,,0,2.2,0,20,,,0,0,0,,0,2.2,0,20,,,0,0,0,,0,2.2,0,20,,No,,
Niif Infrastructure Finance Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,50.9,0.01,2.77,2.77,3156.6,31131,31131,0,,0.85,49.47,0,8.28,4.35,14228.3,7.81,7.81,1.39,,0.95,34.23,-0.01,11.48,3.42,28382.7,0.52,0.52,3.22,,0.95,24.95,-0.35,12.07,2.35,44666.9,0.28,0.28,4.94,,0.98,23.4,-0.11,13.26,2.28,48829.4,0.83,0.83,4.68,,0.95,0.87,-0.26,0.55,0.08,68501.2,1.44,1.44,6.83,,0.95,0.87,-0.26,0.55,0.08,68501.2,1.44,1.44,6.83,No,,
Nike Holdings Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,33.33,0,,,4,0.2,2.4,1.33,,0.28,100,0,18.18,8.57,3.9,,,0.94,,0.3,100,0,20,13.33,4,0.13,2.6,0.14,,0.23,0,0,0,0,3.5,0.09,3.18,0.14,,0.25,50,0,9.09,8,3.6,0.1,3.6,0.13,,0.25,0,0,0,0,3.6,0.1,3.6,0.13,,0.16,-66.67,0,-29.27,-25.53,4.3,0.09,1.59,0.17,,0.16,-66.67,0,-29.27,-25.53,4.3,0.09,1.59,0.17,No,,
Nikhil Securities Pvt. Ltd.,,0.08,38.46,0,6.77,6.65,27.4,22.4,38.4,0.03,,0.1,15.38,0,1.51,1.48,27.2,30.5,49,0.02,,0.1,15.38,0,1.51,1.48,27.2,30.5,49,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nikiceramics Industries Ltd.,36,0.08,3.06,0,9.82,8,15.3,1.07,4.73,0.14,36,0.08,3.06,0,9.82,8,15.3,1.07,4.73,0.14,,,,,,,,,,,,,,,,,,,,,29.8,0.1,-14.77,-0.08,,,12.6,0.35,2.24,0.53,44.1,0.13,-7.48,0.03,-70.21,-37.5,11.1,0.2,1.29,1.6,14.8,0,-50,0.22,,-302.04,3.7,0.06,0.06,,,0.03,86.41,-1.06,17800,-70.97,6.8,8.25,8.5,0.33,,0.03,40,0,4.35,3.28,6.2,,,0.32,,0.03,60,0,6.19,4.72,6.5,,,0.3,,0.03,60,0,6.19,4.72,6.5,,,0.3,No,,
Nikki Global Finance Ltd.,,0.7,19.35,-0.17,2.55,0.82,101.3,,,3.26,,0.72,1.96,-0.05,0.42,0.23,120,191,265,2.17,,0.61,3.57,-0.08,0.42,0.14,109.6,,,2.01,,0.63,5.26,0.03,0.42,0.14,109.8,332,334,2,,0.65,-3100,0,-13.72,-4.34,108,297,307,2.34,0.7,0.72,-88.89,0.02,-4.26,-1.58,111.5,226,239,0.87,,0.82,28.57,0.52,4.72,1.54,97.8,0.25,0.28,2.45,,0.82,14.29,-0.18,2.27,0.72,95.1,0.31,0.34,1.89,,0.85,0,0.03,0,0,91,0.22,0.24,1.89,,0.85,,-0.01,-10.65,-3.56,90.1,0.2,0.22,2.11,,0.85,,-0.01,-10.65,-3.56,90.1,0.2,0.22,2.11,No,,
Nikunj Agro Trading Co. Ltd.,,0.12,-5600,0,,-72.26,5.9,4.29,4.29,,0.1,0.31,-350,0,,-37.68,2.6,0,0,,0.1,0.31,-1100,0,,-57.89,2.6,0,0,,0.1,0.31,-1100,0,,-57.89,2.6,0,0,,,,,,,,,,,,,0.95,0,0.2,,,222.4,0,0,,,0.99,1.41,-0.91,,0.09,253.1,0.33,0.33,,,0.99,4.26,-0.13,,0.31,281.1,0.26,0.26,,,0.99,-205.85,-0.17,,-14.96,341.9,0.96,0.96,,,1,-25.98,-0.12,,-2.09,401.9,0,0,,,1,-25.98,-0.12,,-2.09,401.9,0,0,,No,,
Nikunj Stock Brokers Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,-0.75,0,,,60,1.36,1.56,0.09,,0.12,0,0,0,0,67.9,1.41,1.49,0,,0.16,4.88,0,3.85,-23.72,51.9,1.91,2.12,0,,0.14,22.28,0,13.24,12.65,84.3,1.38,1.46,0,,0.09,17.93,0,11.69,11.95,97.7,1.41,1.53,0,,0.17,9.15,0,6.64,6.64,96.2,1.39,1.5,0,,0.12,3.26,0,2.49,2.49,122.9,1.22,1.33,0,,0.12,3.26,0,2.49,2.49,122.9,1.22,1.33,0,No,,
Nilam Suresh Mediatek Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-0.01,,,311.2,,,0,,0,-416.67,0,-0.81,-0.81,308.8,2,2,0,,0.01,49.33,-0.01,1.19,1.19,314.8,3,3,0,,0,38.1,0,0.26,0.26,313.3,214,214,0,,0,35.96,-0.02,4.01,4.07,328.5,8.68,8.68,0,,0,39.86,-0.01,3.56,3.56,341.3,0.34,0.34,0,,0,39.86,-0.01,3.56,3.56,341.3,0.34,0.34,0,No,,
Nilambar Trexim & Credit Pvt. Ltd.,,,,,,,,,,,513.9,0.02,0.71,0.23,,,212.2,0.22,0.26,0.01,407.1,0.02,0.92,0.05,4.03,3.97,279.3,0.52,0.55,0.01,343.3,0.02,1.09,0.18,3.87,3.82,295,0.58,0.58,0.01,6.6,0.03,30.97,-0.35,3.44,3.21,190,0.06,0.06,0.01,1.8,0.03,23.08,0.01,1.15,1.14,187.9,0.05,0.05,0.01,1.8,0.03,23.08,0.01,1.15,1.14,187.9,0.05,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nilanchaal Cement Pvt. Ltd.,,0,0,-0.17,0,0,34.5,0.63,0.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0,0,,,160.6,0.25,0.25,0,,0.65,0,0,0,0,165.3,1.5,3,0,,0.64,0,-0.03,0,0,169.3,2,5,0,,0.62,0,-0.02,0,0,173,2.33,2.33,0,,0.36,,0.2,-0.09,-0.09,187.8,,,0,,0.34,0,-0.02,0,0,195.7,11,11,0,,0.34,0,-0.02,0,0,195.7,11,11,0,No,,
Nilayam Builders & Developers Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nilchem Infrastructure Ltd.,,0.74,0,0,0,0,9.5,,,0,,0.73,0,0,0,0,9.6,,,0,,0.73,0,0,0,0,9.6,,,0,,,,,,,,,,,,,,,,,,,,,,0.74,0,-0.02,,,9.5,,,0,,0.73,0,-0.02,0,0,9.8,0.5,36.5,0,,0.73,0,-0.02,0,0,9.6,,,0,,0.73,0,-0.02,0,0,9.6,,,0,,0.71,0,0.03,0,0,9.6,,,0,,0.71,0,0.03,0,0,9.6,,,0,No,,
Nilgiri Commercial & Finvest Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nilgiri Infrastructure Devp. Ltd.,,,,,,,,,,,,,,,,,,,,,,0.04,,0,,,1594.7,285,947,,,0.04,77.78,-0.31,,0.05,1592.5,128.5,459.5,,,0.04,,0,,-0.01,1592.9,64.5,230,,,0.43,,0,,-0.02,214.7,1,919,,,0.42,-100,0,,-0.05,217.6,0,0,,,0.03,93.34,0,,1163.8,3.6,0,0,,,0.03,,-0.03,,-2.86,3.6,0,0,,,0,,0,,-5.88,3.5,0,0,,,0,,0,,-5.88,3.5,0,0,,No,,
Nilgiris Amusements & Ecoparks Ltd.,,0.29,-200,0,-1.73,-2.3,44.4,0.7,6.26,0.13,,0.3,,0,-0.87,-0.77,44,0.59,6.55,0.13,,0.29,,0,-0.44,-0.39,45.6,0.38,3.74,0.13,,0.29,62.5,-0.04,2.13,-0.76,44.7,0.68,5.92,0.13,,0.29,85.71,-0.01,4.82,-0.72,45.6,1.18,7.09,0.12,,0.28,,0,-0.78,-0.7,45.5,0.57,6.17,0.12,,0.28,57.14,0.01,1.55,1.39,45.9,0.7,6.3,0.12,,0.28,44.44,0.01,1.53,1.37,46.2,0.64,6.5,0.11,,0.28,44.44,0.01,1.53,1.37,46.2,0.64,6.5,0.11,,,,,,,,,,,,,,,,,,,,,No,,
Nilkash Investments & Holdings Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nimbus (India) Ltd.,17.7,0.12,43.75,0,4.13,3.39,430.2,81.21,81.21,0.34,17.7,0.12,43.75,0,4.13,3.39,430.2,81.21,81.21,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nine Media & Information Services Ltd.,,0.07,-50,-0.01,-10.42,-3.48,35,,,2.02,,0.06,69.23,0.04,9.42,-1.57,29.8,,,1.36,,0.05,,0.01,-1.01,-0.43,29,,,1.3,,0.75,,0,-1.02,-0.43,29.9,,,1.42,,0.75,,0,-1.02,-0.43,29.9,,,1.42,,0.74,,0,,,29.1,76,76,1.56,,1,,-0.01,-8.19,-4.52,8.3,0,0,0,,1,,-0.05,-5,-5,7.9,0,0,0,,1,,-0.01,-1.28,-1.28,7.8,,,0,,0.38,96.06,-0.01,87.77,90.65,20,,,0,,0.38,96.06,-0.01,87.77,90.65,20,,,0,No,,
Nine Paradise Erectors Pvt. Ltd.,,0.79,-28.57,-0.1,,-0.04,1026.8,0,0.22,,,0.33,-0.1,-0.3,,-0.02,324.4,0,0.7,,,0.3,-33.33,-0.04,,-0.03,313,0,0.73,,,0.3,,0,,-0.03,314.2,0,0.73,,,0.17,,0,,-0.04,272,0,0.86,,,0.04,,0,,0,235.7,0,1,,,0.7,,-0.01,,-0.02,796.5,0.01,0.3,,,0.74,,0,,-4.41,1009.1,0,0.23,,,0.74,,0,,-4.41,1009.1,0,0.23,,,,,,,,,,,,,,,,,,,,,,No,,
Nippon Commercial Co. Ltd.,,0.9,66.67,-0.02,4.55,4.55,18,,,0,,0.87,7.69,-0.01,0.55,0.54,20.3,0.17,0.42,0.07,,0.79,0,-0.09,0,0,19.3,5,5.5,0.06,,0.79,0,-0.09,0,0,19.3,5,5.5,0.06,,0.77,22.22,-0.04,,,21.5,1.67,2,0.09,,0.86,-10.53,-0.06,-1.05,-0.97,20.8,0.2,0.6,0.07,,0.54,5,-0.05,0.53,0.5,21.3,5.43,5.71,0.05,,0.87,-15.38,-0.13,-1.06,-1.01,19.6,1.6,2,0.03,,0.7,-6.67,-0.07,-0.53,-0.52,19.3,7.33,7.33,0.02,,0.7,-6.67,-0.07,-0.53,-0.52,19.3,7.33,7.33,0.02,,,,,,,,,,,No,,
Nippon Life India A I F Trustee Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0,0,,,0.2,2,2,0,0.4,0,25,0.33,66.67,66.67,0.3,3,3,0,,0.09,75,0.55,120,120,1.1,3.67,3.67,0,,0.21,45.45,0.26,47.62,47.62,1.9,3.17,3.17,0,,0.17,53.33,0.24,45.71,45.71,2.9,4,4,0,,0.17,53.33,0.24,45.71,45.71,2.9,4,4,0,No,,
Nippon Life India Asset Mgmt. Ltd.,,0.33,37.36,0.09,24.3,24.34,16150.5,2.71,2.73,0,,0.63,42.99,0.1,23.88,23.8,17959.4,1.27,1.28,0,,0.63,27.7,0.04,16.32,16.22,17956.2,1.12,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Jan-12
Nippon Life India Trustee Ltd.,,0.16,61.54,0.05,64,64,5.6,8.14,8.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.07,23.64,0.08,,,8.6,80,80,0,5.5,0.05,25,0.15,15.22,15.22,10,95,95,0,6,0.04,20.63,0.06,12.32,12.32,11.2,,,0,,0.14,39.47,0.15,22.56,24.81,18.9,0.87,0.87,0,,0.04,16.3,0.08,9.26,9.26,19.7,0.39,0.39,0,,0.02,46.15,0.13,21.99,21.99,22.2,0.86,0.86,0,,0.02,46.15,0.13,21.99,21.99,22.2,0.86,0.86,0,No,,
Nipro Tube Glass Pvt. Ltd.,537.4,0.16,5.76,0.26,22.6,9.22,559.3,0.61,0.87,1.26,537.4,0.16,5.76,0.26,22.6,9.22,559.3,0.61,0.87,1.26,,,,,,,,,,,339.9,0.09,-140.65,-0.31,,,2855.6,1.23,1.44,0.34,234.3,0.07,-121.5,-0.03,-49.08,-40.88,2330,1.24,1.61,0.7,212.3,0.03,-497.19,-0.01,-338.98,-117.32,1408.6,0.44,0.62,,239.5,0,7.41,-928,,-818.56,0.2,1,1,,,0,0,41.33,,,0.3,1,1,,,0,100,0,,,0.4,1.33,1.33,,,0,-28.57,0,,,0.5,0.83,0.83,,,0,-28.57,0,,,0.5,0.83,0.83,,No,,
Niraj Jindal Ispat Udyog Pvt. Ltd.,0.8,0.03,-20,0.18,-1.18,-0.98,23.7,9.33,9.33,0.37,0.8,0.01,55.88,-0.06,20.21,-9.01,22,1,1.4,0.03,0.8,0,-30,0.01,-1.46,-1.43,21.6,0.57,0.57,0.02,0.8,0,-40,-0.01,-1.98,-1.95,21.3,0.4,0.4,0.01,0.8,0,-60,0.02,-3.05,-3.02,21.5,0.67,0.67,0,0.8,0.01,81.13,-0.07,19.95,0.93,24.4,0.67,0.67,0,0.8,0.03,27.27,-0.03,1.26,1.25,24.8,0.43,0.43,0.01,0.8,0.03,33.33,0,1.65,1.65,25.2,0.87,0.87,0,0.9,0.03,80.1,-0.09,47.66,-7.17,40.4,34.83,34.83,0,0.9,0.03,66.67,-0.01,5.39,3.43,42.5,38.67,38.67,0,0.9,0.03,66.67,-0.01,5.39,3.43,42.5,38.67,38.67,0,No,,
Nirester Finance & Invst. Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirgun Financial Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirja Publishers & Printers Pvt. Ltd.,307.4,0.06,19.18,0.03,,,130.5,2.92,3.56,0.05,357.8,0.15,34.26,0.29,75.53,73.56,273.6,4.13,4.36,0.02,381.9,0.16,23.63,0.24,33.58,33.31,373.1,4.43,4.55,0,419.8,0.17,26.68,0.06,30.45,29.64,492.8,2.86,3.21,0,445.3,0.14,21.23,-0.07,19.95,18.56,643.1,2.82,2.87,0.14,487.7,0.43,25.1,0.02,21.56,19.03,877.3,1.85,1.91,0.13,254,0.43,13.91,0.07,5.85,5.27,753.2,3.01,3.16,0.06,151.2,0.44,18.14,0.09,4.69,4.34,841.5,1.62,1.76,0.07,226.5,0.52,15.22,0.16,5.39,5.38,839,1.72,1.87,0.01,20.1,0.62,32.45,-0.05,2.56,2.55,787,5.36,6.32,0.01,20.1,0.62,32.45,-0.05,2.56,2.55,787,5.36,6.32,0.01,No,,
Nirlon Investments Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirma Consumer Care Ltd. [Merged],0.1,1,-202.38,-0.15,-25.41,-26.01,71.1,1.69,1.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirma Credit & Capital Ltd.,0.5,0.65,40.33,-0.1,30.01,6.5,1515.4,6.7,6.81,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Sale of Assets,Mar-10
Nirma Industries Ltd.,1.1,0.78,-135.54,0.04,-50.36,-12.76,853.5,0.02,3.56,4.23,1.2,0.77,-158.04,-0.02,-11.64,-1.92,906.4,0.03,1.85,5.29,1.2,0.77,-158.04,-0.02,-11.64,-1.92,906.4,0.03,1.85,5.29,,,,,,,,,,,1,0.21,60.34,0.49,,,358.4,0.01,2.22,0.04,,0.17,-3.38,0.07,-0.21,0.14,346.6,0.05,2.79,0,4.2,0.11,41.81,-0.65,6.81,6.5,395.2,0.02,0.29,0.07,2,0.14,-9182.14,0.06,-109.01,-103.05,367.8,0.2,1.15,0.03,1.7,0.14,-323.33,0,-9.46,-7.77,357.3,1.48,2.37,0.03,1.2,0.16,156.41,-0.01,6.05,9.1,362.5,0.93,2.4,0.02,1.2,0.16,156.41,-0.01,6.05,9.1,362.5,0.93,2.4,0.02,No,,
Nirma Petrochemicals Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirmal Bang Equities Pvt. Ltd.,,0.22,24.42,-0.53,1.83,1.76,135.9,69.67,305.33,0.04,,,,,,,,,,,,0.21,-489.63,-0.25,,,120.3,9.77,12.15,,,0.19,-101.99,-0.14,,-28.65,179.8,1.76,2.73,,77.9,0.17,14.76,-0.62,,9.03,146.6,4.19,12.43,,59.7,0.18,-9.37,0.26,,-4.69,140.2,9.93,16.97,,71.9,0.17,-6.87,0,,-4.13,139.6,5.47,6.22,,105.6,0.16,9.54,0.16,,8.02,155.4,5.11,5.25,,0.4,0.28,-32.6,-0.36,,-22.77,124.9,5.56,6.13,,1,0.27,-33.95,-0.15,,-24.79,127.1,6.69,6.92,,1,0.27,-33.95,-0.15,,-24.79,127.1,6.69,6.92,,No,,
Nirmal Bang Securities Pvt. Ltd.,,,,,,,,,,,17.6,0.06,-6.42,0,,,2934.8,2.56,2.61,0.14,26,0.06,5.77,0.02,3.12,2.92,3125.8,2.22,2.34,0.13,26,0.08,6.73,0.11,4.2,4.02,3297.7,1.06,1.1,0.07,28.2,0.07,8.32,-0.03,6.61,7.15,3348.3,1.3,1.31,0.01,30.1,0.08,6.33,-0.02,4.42,4.39,3118.7,2.4,2.41,0.01,15.4,0.15,3.82,-0.14,2.83,2.23,4452.9,0.91,0.91,0.33,,0.03,5.16,0,4.5,3.65,4108.7,0.97,0.97,0.02,,0.04,-1.86,0,-1.3,-1.18,4416.8,1.76,1.8,0.24,,0.05,7.38,0,6.22,-2.23,5583.8,1.56,1.57,0,,0.05,7.38,0,6.22,-2.23,5583.8,1.56,1.57,0,No,,
Nirmal Finlease India Ltd.,,0.02,,0,-2.42,-0.83,31.3,1.36,1.36,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirmal Krishna Benefit Fund Ltd.,,0.6,6.45,0,3.67,0.71,36.3,14.7,14.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirmal Lifestyle Realty Pvt. Ltd.,,0.01,,0,0,0,368,0.02,3.16,503.4,,0.01,,0,0,0,368,0.02,3.16,503.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirmaldeep Resources Ltd.,0.3,0.74,13.16,0,1.15,0.77,85.6,18,197.25,0,0.3,0.83,3.7,0,0.47,0.46,89.6,0.93,25.77,0.05,0.3,0.87,0,0,0,0,89.6,0.91,23.14,0.05,0.3,0.86,-4.5,0,-0.59,-0.55,91.9,0.93,12.31,0.08,0.3,0.82,20.91,-0.03,2.67,2.26,104.6,0.73,0.76,0.19,0.3,0.83,11.83,-0.02,1.25,1.06,105,0.68,0.74,0.18,0.5,0.84,48.1,0.15,25.04,43.86,116.9,3.14,3.57,0,1,0.78,38.1,-0.01,4.14,4.14,118.9,56,158,0,0.6,0.78,42.61,0.01,4.05,4.22,123.8,,,0,0.6,0.81,-1.18,0.02,-0.08,-0.08,125,14,15.4,0,0.6,0.81,-1.18,0.02,-0.08,-0.08,125,14,15.4,0,No,,
Nirman Commodities Pvt. Ltd.,,,,,,,,,,,,0.37,3.28,0,,,10.2,0.79,1.31,0,,0.31,-7.69,0,-17.24,-14.71,11.5,0.62,1.01,0.37,,0.06,-13.04,0,-25,-21.54,7.1,0.65,0.69,0.33,,0.08,-22.73,0,-21.74,-17.86,7.7,0.74,0.84,0.12,,0.29,4.35,-0.05,3.85,3.51,12.1,0.69,1.06,0.07,,0.19,6.45,-0.11,7.27,7.02,7.2,0.98,1.3,0,,0.31,20.83,0,16.13,16.13,6.2,1.26,1.96,0,,0.37,-40,0,-19.35,-19.35,7,1.05,1.68,0,,0,-5,0,-3.57,-3.57,4.9,2,2,0,,0,-5,0,-3.57,-3.57,4.9,2,2,0,No,,
